round,gameweek,dayofweek,date,start_time,home_team,away_team,score,home_score,away_score,home_pens,away_pens,went_to_penalties,attendance,venue,referee,home_formation,away_formation,home_manager,away_manager,home_captain,away_captain,home_possession,away_possession,home_sot,away_sot,home_total_shots,away_total_shots,home_saves,away_saves,home_cards_yellow,away_cards_yellow,home_cards_red,away_cards_red,home_fouls,away_fouls,home_corners,away_corners,home_crosses,away_crosses,home_interceptions,away_interceptions,home_offsides,away_offsides,notes
조별리그,1,금,2026-06-12,04:00,멕시코,남아프리카공화국,2-0,2.0,0.0,,,false,80824,"Estadio Banorte, Coyoacán",일톤 삼파,4-1-4-1,5-3-2,하비에르 아기레,휘고 브로스,케살 몬테스,론엔 일리므스,61,40,4,2,16,3,2,2,1,2,1,2,12,11,3,1,12,8,8,7,1,1,
조별리그,1,금,2026-06-12,11:00,대한민국,체코,2-1,2.0,1.0,,,false,44985,"Estadio Akron, Zapopan",아민 오말,3-4-3,3-4-3,홍명보,미로스랍 코이벡,손흥민,라디스랍 크레즈키,62,38,6,4,15,7,3,4,1,0,0,0,9,16,4,5,12,15,11,7,2,2,
조별리그,1,토,2026-06-13,04:00,캐나다,보스니아 헤르체고비나,1-1,1.0,1.0,,,false,43002,"BMO Field, Toronto",파쿤도 텔로,4-2-2-2,4-2-2-2,제시 마시,셀게즈 발바레즈,스텝헨 으스타쿠,시드 코라시나크,61,39,4,3,13,8,2,1,2,3,0,0,10,20,9,4,24,10,4,10,1,0,
조별리그,1,토,2026-06-13,10:00,미국,파라과이,4-1,4.0,1.0,,,false,70492,"SoFi Stadium, Inglewood",단니 막케리,4-2-3-1,4-2-2-2,마우리시오 포체티노,구스타보 알파로,팀 림,구스타보 고메즈,65,35,6,1,16,9,0,3,1,5,0,0,13,17,3,1,17,5,11,9,2,1,
조별리그,1,일,2026-06-14,04:00,카타르,스위스,1-1,1.0,1.0,,,false,67966,"Levi's Stadium, Santa Clara",사이드 말티네즈,4-1-4-1,4-2-3-1,훌렌 로페테기,무라트 야킨,보렘 콕이히,그라니트 크스하카,32,68,4,7,7,26,5,3,2,1,0,0,12,11,3,10,8,35,10,7,0,1,
조별리그,1,일,2026-06-14,07:00,브라질,모로코,1-1,1.0,1.0,,,false,80663,"MetLife Stadium, East Rutherford",스랍코 빈키크,4-2-2-2,4-2-3-1,카를로 안첼로티,모하메드 오비,말쿤호스,아슈라프 하키미,51,49,5,3,12,14,2,4,2,0,0,0,16,14,6,2,16,15,5,4,0,1,
조별리그,1,일,2026-06-14,13:00,호주,튀르키예,2-0,2.0,0.0,,,false,52497,"BC Place Stadium, Vancouver",제수스 바렌주라,5-4-1,4-2-3-1,토니 포포비크,빈첸초 몬텔라,할리 소이트탈,하칸 칼하녹루,28,72,4,8,9,30,8,2,0,1,0,0,12,4,5,8,14,26,6,4,1,3,
조별리그,1,일,2026-06-14,10:00,아이티,스코틀랜드,0-1,0.0,1.0,,,false,64146,"Gillette Stadium, Foxborough",무스탑하 골발,4-2-2-2,4-2-2-2,세바스틴 믹네,스티브 클라크,조니 프라키데,안디 로베르트손,54,46,2,2,15,9,1,2,1,3,0,0,23,21,4,3,23,14,6,6,3,1,
조별리그,1,월,2026-06-15,02:00,독일,퀴라소,7-1,7.0,1.0,,,false,68021,"Reliant Stadium, Houston",자랄 지드,4-2-3-1,4-3-1-2,율리안 나겔스만,딕 아드보카트,요주아 키미히,리느드로 바쿠나,65,35,12,2,26,8,1,4,0,0,0,0,18,11,8,1,12,7,10,16,0,1,
조별리그,1,월,2026-06-15,05:00,네덜란드,일본,2-2,2.0,2.0,,,false,69285,"AT&T Stadium, Arlington",이스말이 엘파트,4-1-4-1,3-4-3,로날드 쿠만,모리야스 하지메,빌길 반 딕즈,리트수 돈,60,40,6,3,10,10,1,4,3,0,0,0,7,7,5,4,21,23,7,4,1,0,
조별리그,1,월,2026-06-15,08:00,코트디부아르,에콰도르,1-0,1.0,0.0,,,false,68274,"Lincoln Financial Field, Philadelphia",프란코스 레테크실,4-2-2-2,4-2-2-2,에멜세 파,세바스틴 베카크케케,프락느크 케스시,엔넬 바렌키,48,52,4,1,15,12,1,3,3,1,0,0,10,13,3,5,7,14,11,13,,,
조별리그,1,월,2026-06-15,11:00,스웨덴,튀니지,5-1,5.0,1.0,,,false,50987,"Estadio BBVA Bancomer, Guadalupe",일 팔콘,3-4-1-2,5-3-2,그레이엄 포터,사브리 라무시,비크톨 린데로프,엘리스 스크히리,49,51,7,2,13,6,1,1,0,1,0,0,10,8,4,2,12,13,8,5,3,6,
조별리그,1,화,2026-06-16,04:00,벨기에,이집트,1-1,1.0,1.0,,,false,66775,"Lumen Field, Seattle",라몬 아바트티,4-2-3-1,4-2-3-1,뤼디 가르시아,호삼 하산,이리 티레마느스,모하메드 살라,54,46,3,3,15,14,2,3,2,2,0,0,15,15,2,7,16,13,10,12,0,1,
조별리그,1,화,2026-06-16,01:00,스페인,카보베르데,0-0,0.0,0.0,,,false,67640,"Mercedes-Benz Stadium, Atlanta",아드함 막하드메,4-1-4-1,4-1-4-1,루이스 데라푸엔테,부비스타,로드리,린 멘데스,74,26,7,1,27,6,1,7,1,1,0,0,10,1,11,1,36,4,6,16,2,3,
조별리그,1,화,2026-06-16,07:00,사우디아라비아,우루과이,1-1,1.0,1.0,,,false,62764,"Hard Rock Stadium, Miami Gardens",모리지 마리니,4-2-2-2,4-2-2-2,겔기스 도니스,마르셀로 비엘사,사렘 알-다사리,페데리코 발벨데,33,67,3,10,7,27,9,2,1,0,0,0,11,6,4,14,7,47,7,10,0,6,
조별리그,1,화,2026-06-16,10:00,이란,뉴질랜드,2-2,2.0,2.0,,,false,70108,"SoFi Stadium, Inglewood",케살 알투로 라모스,4-2-2-2,4-2-3-1,아밀 가레노이,달렌 바제레이,메디 타레미,크흐리스 우드,48,52,4,8,17,14,6,2,1,0,0,0,10,8,4,1,19,12,11,13,2,0,
조별리그,1,수,2026-06-17,04:00,프랑스,세네갈,3-1,3.0,1.0,,,false,80545,"MetLife Stadium, East Rutherford",아리레자 팍하니,4-2-3-1,4-2-3-1,디디에 데샹,파페 시,킬리안 음바페,카리도이 코이리바리,54,46,8,2,11,6,2,5,0,0,0,0,5,9,6,4,9,9,7,8,1,3,
조별리그,1,수,2026-06-17,07:00,이라크,노르웨이,1-4,1.0,4.0,,,false,63106,"Gillette Stadium, Foxborough",필레 기스란이 아트크호,4-2-2-2,4-1-4-1,그레이엄 아널드,스톨레 솔바켄,자랄 하스산,말틴 데가르드,39,61,1,5,11,12,2,0,1,0,0,0,12,13,2,5,13,17,5,3,1,0,
조별리그,1,수,2026-06-17,10:00,아르헨티나,알제리,3-0,3.0,0.0,,,false,69045,"GEHA Field at Arrowhead Stadium, Kansas City",스지몬 말키닉,4-2-2-2,4-2-3-1,리오넬 스칼로니,브라디밀 페트코비크,리오넬 메시,아이스사 만디,48,52,6,0,10,7,0,3,0,0,0,0,13,8,2,2,5,8,12,8,3,1,
조별리그,1,수,2026-06-17,13:00,오스트리아,요르단,3-1,3.0,1.0,,,false,68527,"Levi's Stadium, Santa Clara",다하네 베다,4-2-3-1,5-4-1,랄프 랑닉,자말 셀라미,다비드 아라바,이산 하드다드,63,37,4,4,11,11,3,1,1,0,0,0,12,7,4,3,17,15,15,12,3,1,
조별리그,1,목,2026-06-18,02:00,포르투갈,콩고민주공화국,1-1,1.0,1.0,,,false,68777,"Reliant Stadium, Houston",압둘라만 입라힘 알 자스심,4-2-3-1,5-3-2,로베르토 마르티네스,세바스틴 데삽레,크리스티아누 호날두,찬켈 므벰바,75,25,1,2,7,8,1,0,3,1,0,0,9,10,5,4,23,9,2,5,3,2,
조별리그,1,목,2026-06-18,05:00,잉글랜드,크로아티아,4-2,4.0,2.0,,,false,70389,"AT&T Stadium, Arlington",크레메느트 툴핀,4-2-3-1,3-4-3,토마스 투헬,즐라트코 달리치,해리 케인,루카 모드리크,52,48,11,5,22,10,3,7,0,0,0,0,10,12,8,2,13,13,7,7,0,1,
조별리그,1,목,2026-06-18,08:00,가나,파나마,1-0,1.0,0.0,,,false,42942,"BMO Field, Toronto",그렌느 니벡르,4-2-3-1,3-4-3,카를루스 케이로스,소마스 크흐리스틴센,졸단 아,일 발케나스,38,62,2,4,8,11,4,2,1,2,0,0,9,11,2,2,16,21,8,5,4,1,
조별리그,1,목,2026-06-18,11:00,우즈베키스탄,콜롬비아,1-3,1.0,3.0,,,false,80824,"Estadio Banorte, Coyoacán",아느트호니 테이롤,5-4-1,4-1-4-1,파비오 칸나바로,네스토르 로렌소,엘돌 소무로돕,자메스 로드리구즈,39,62,2,4,8,15,1,1,1,1,0,0,14,11,3,4,13,15,7,6,0,3,
조별리그,2,금,2026-06-19,01:00,체코,남아프리카공화국,1-1,1.0,1.0,,,false,67442,"Mercedes-Benz Stadium, Atlanta",토리 펜소,5-3-2,4-1-4-1,미로스랍 코이벡,휘고 브로스,라디스랍 크레즈키,론엔 일리므스,38,62,3,4,14,17,3,2,1,2,0,0,12,10,5,5,16,17,9,9,2,3,
조별리그,2,금,2026-06-19,04:00,스위스,보스니아 헤르체고비나,4-1,4.0,1.0,,,false,70026,"SoFi Stadium, Inglewood",조 핀헤로,4-1-4-1,4-2-2-2,무라트 야킨,셀게즈 발바레즈,그라니트 크스하카,에딘 드제코,62,38,7,3,13,5,2,3,1,2,0,1,7,18,7,3,22,12,4,12,3,1,
조별리그,2,금,2026-06-19,07:00,캐나다,카타르,6-0,6.0,0.0,,,false,52497,"BC Place Stadium, Vancouver",크리스틴 가레이,4-2-2-2,4-3-2-1,제시 마시,훌렌 로페테기,스텝헨 으스타쿠,보렘 콕이히,79,21,10,0,32,2,0,4,1,1,0,2,9,10,19,1,55,3,6,11,1,1,
조별리그,2,금,2026-06-19,10:00,멕시코,대한민국,1-0,1.0,0.0,,,false,45522,"Estadio Akron, Zapopan",구스타보 테제라,4-1-4-1,3-4-3,하비에르 아기레,홍명보,에드손 알바레즈,손흥민,42,58,4,2,8,9,2,3,0,2,0,0,9,7,0,2,5,9,7,5,3,6,
